,시설아이디,주차,조사일자,표본번호,관부직경,엽병장,엽수,엽장,엽폭,개화수,초장,최종화방차수,화방 꽃수(소화수)
0,B농가,4,20231006,1,12.39,139.0,5.0,79.0,70.0,0.0,255.0,0.0,0.0
1,B농가,4,20231006,2,12.59,146.0,5.0,78.0,77.0,0.0,251.0,0.0,0.0
2,B농가,4,20231006,3,13.91,100.0,6.0,73.0,68.0,0.0,209.0,0.0,0.0
3,B농가,4,20231006,4,10.36,111.0,4.0,83.0,80.0,0.0,264.0,0.0,0.0
4,B농가,4,20231006,5,9.48,203.0,3.0,94.0,94.0,0.0,307.0,0.0,0.0
5,B농가,4,20231006,6,15.66,121.0,5.0,96.0,58.0,0.0,291.0,0.0,0.0
6,B농가,4,20231006,7,13.91,159.0,5.0,74.0,72.0,0.0,268.0,0.0,0.0
7,B농가,4,20231006,8,10.39,240.0,4.0,79.0,64.0,0.0,293.0,0.0,0.0
8,B농가,4,20231006,9,11.61,122.0,4.0,68.0,58.0,0.0,237.0,0.0,0.0
9,B농가,5,20231013,1,13.09,142.0,6.0,84.0,74.0,0.0,269.0,0.0,0.0
10,B농가,5,20231013,2,17.78,149.0,6.0,79.0,80.0,0.0,276.0,0.0,0.0
11,B농가,5,20231013,3,20.77,125.0,6.0,84.0,76.0,0.0,222.0,0.0,0.0
12,B농가,5,20231013,4,14.95,122.0,4.0,99.0,92.0,0.0,283.0,0.0,0.0
13,B농가,5,20231013,5,11.98,162.0,4.0,83.0,74.0,0.0,329.0,0.0,0.0
14,B농가,5,20231013,6,21.82,146.0,6.0,103.0,96.0,0.0,297.0,0.0,0.0
15,B농가,5,20231013,7,14.99,146.0,6.0,98.0,81.0,0.0,298.0,0.0,0.0
16,B농가,5,20231013,8,16.38,151.0,5.0,103.0,92.0,0.0,314.0,0.0,0.0
17,B농가,5,20231013,9,13.88,158.0,4.0,89.0,74.0,0.0,261.0,0.0,0.0
18,B농가,6,20231020,1,17.74,121.0,6.0,96.0,94.0,0.0,273.0,0.0,0.0
19,B농가,6,20231020,2,18.45,92.0,7.0,82.0,74.0,0.0,273.0,0.0,0.0
20,B농가,6,20231020,3,21.01,115.0,7.0,82.0,77.0,0.0,227.0,0.0,0.0
21,B농가,6,20231020,4,17.92,132.0,5.0,105.0,96.0,0.0,291.0,0.0,0.0
22,B농가,6,20231020,5,16.16,158.0,4.0,103.0,98.0,0.0,338.0,0.0,0.0
23,B농가,6,20231020,6,22.57,142.0,6.0,105.0,99.0,0.0,300.0,0.0,0.0
24,B농가,6,20231020,7,18.41,105.0,6.0,98.0,83.0,0.0,301.0,0.0,0.0
25,B농가,6,20231020,8,20.87,152.0,5.0,98.0,86.0,0.0,321.0,0.0,0.0
26,B농가,6,20231020,9,18.18,122.0,4.0,105.0,98.0,0.0,263.0,0.0,0.0
27,B농가,7,20231027,1,19.81,123.0,7.0,99.0,95.0,0.0,276.0,1.0,0.0
28,B농가,7,20231027,2,21.04,101.0,7.0,82.0,83.0,0.0,276.0,0.0,0.0
29,B농가,7,20231027,3,22.29,113.0,7.0,92.0,87.0,0.0,230.0,1.0,0.0
30,B농가,7,20231027,4,21.61,103.0,5.0,96.0,85.0,0.0,295.0,0.0,0.0
31,B농가,7,20231027,5,18.44,162.0,5.0,104.0,99.0,0.0,344.0,1.0,0.0
32,B농가,7,20231027,6,22.77,143.0,7.0,104.0,99.0,0.0,307.0,1.0,0.0
33,B농가,7,20231027,7,19.59,143.0,7.0,98.0,84.0,0.0,305.0,0.0,0.0
34,B농가,7,20231027,8,20.97,92.0,6.0,104.0,88.0,0.0,324.0,0.0,0.0
35,B농가,7,20231027,9,21.06,98.0,6.0,90.0,85.0,0.0,266.0,0.0,0.0
36,B농가,8,20231103,1,20.03,126.0,5.0,99.0,96.0,1.0,236.0,1.0,2.0
37,B농가,8,20231103,2,23.45,104.0,8.0,86.0,85.0,1.0,285.0,1.0,0.0
38,B농가,8,20231103,3,23.94,109.0,7.0,89.0,85.0,1.0,231.0,1.0,1.0
39,B농가,8,20231103,4,22.28,105.0,6.0,96.0,86.0,0.0,298.0,1.0,1.0
40,B농가,8,20231103,5,20.02,177.0,6.0,106.0,100.0,2.0,346.0,1.0,1.0
41,B농가,8,20231103,6,23.82,148.0,8.0,107.0,100.0,2.0,307.0,1.0,0.0
42,B농가,8,20231103,7,21.95,64.0,8.0,95.0,92.0,2.0,305.0,1.0,1.0
43,B농가,8,20231103,8,21.41,104.0,7.0,104.0,83.0,1.0,325.0,1.0,0.0
44,B농가,8,20231103,9,22.88,94.0,8.0,90.0,89.0,1.0,270.0,1.0,0.0
45,B농가,9,20231110,1,23.01,112.0,5.0,80.0,80.0,6.0,220.0,1.0,1.0
46,B농가,9,20231110,2,23.8,140.0,6.0,80.0,78.0,3.0,255.0,1.0,2.0
47,B농가,9,20231110,3,22.79,88.0,5.0,90.0,84.0,5.0,200.0,1.0,1.0
48,B농가,9,20231110,4,26.21,105.0,6.0,97.0,89.0,3.0,278.0,1.0,1.0
49,B농가,9,20231110,5,26.58,161.0,6.0,108.0,101.0,5.0,290.0,1.0,2.0
50,B농가,9,20231110,6,23.02,117.0,7.0,78.0,69.0,6.0,251.0,1.0,0.0
51,B농가,9,20231110,7,22.63,70.0,5.0,95.0,89.0,6.0,255.0,1.0,1.0
52,B농가,9,20231110,8,22.44,98.0,6.0,112.0,87.0,5.0,255.0,1.0,2.0
53,B농가,9,20231110,9,27.06,89.0,6.0,91.0,89.0,3.0,230.0,1.0,4.0
54,B농가,10,20231117,1,22.62,120.0,7.0,83.0,82.0,7.0,220.0,1.0,2.0
55,B농가,10,20231117,2,21.34,162.0,6.0,88.0,87.0,5.0,260.0,1.0,1.0
56,B농가,10,20231117,3,25.79,110.0,6.0,95.0,84.0,7.0,218.0,1.0,2.0
57,B농가,10,20231117,4,26.47,142.0,7.0,78.0,72.0,4.0,283.0,1.0,3.0
58,B농가,10,20231117,5,27.16,133.0,6.0,101.0,95.0,5.0,290.0,1.0,3.0
59,B농가,10,20231117,6,27.5,127.0,7.0,82.0,75.0,8.0,252.0,1.0,2.0
60,B농가,10,20231117,7,26.25,77.0,6.0,97.0,82.0,8.0,257.0,1.0,1.0
61,B농가,10,20231117,8,24.85,135.0,7.0,89.0,83.0,7.0,265.0,1.0,2.0
62,B농가,10,20231117,9,28.28,126.0,8.0,112.0,98.0,7.0,257.0,1.0,2.0
63,B농가,11,20231124,1,24.03,125.0,6.0,85.0,82.0,11.0,270.0,1.0,1.0
64,B농가,11,20231124,2,23.93,152.0,7.0,93.0,89.0,8.0,274.0,1.0,2.0
65,B농가,11,20231124,3,25.89,125.0,6.0,88.0,82.0,9.0,250.0,1.0,1.0
66,B농가,11,20231124,4,29.41,146.0,7.0,88.0,79.0,8.0,288.0,1.0,1.0
67,B농가,11,20231124,5,29.17,140.0,6.0,90.0,80.0,9.0,285.0,1.0,1.0
68,B농가,11,20231124,6,27.97,106.0,7.0,90.0,87.0,11.0,250.0,1.0,0.0
69,B농가,11,20231124,7,27.54,93.0,5.0,97.0,90.0,12.0,260.0,1.0,1.0
70,B농가,11,20231124,8,28.26,109.0,6.0,93.0,91.0,11.0,240.0,1.0,1.0
71,B농가,11,20231124,9,28.42,111.0,7.0,80.0,74.0,9.0,247.0,1.0,3.0
72,B농가,12,20231130,1,23.72,129.0,7.0,88.0,82.0,12.0,250.0,1.0,0.0
73,B농가,12,20231130,2,23.57,169.0,7.0,90.0,90.0,9.0,287.0,1.0,2.0
74,B농가,12,20231130,3,24.99,113.0,6.0,88.0,82.0,10.0,247.0,1.0,2.0
75,B농가,12,20231130,4,29.22,152.0,8.0,77.0,65.0,9.0,293.0,1.0,3.0
76,B농가,12,20231130,5,29.83,145.0,7.0,90.0,78.0,10.0,342.0,1.0,2.0
77,B농가,12,20231130,6,31.06,122.0,8.0,87.0,70.0,12.0,263.0,1.0,1.0
78,B농가,12,20231130,7,28.12,70.0,5.0,96.0,82.0,13.0,263.0,1.0,1.0
79,B농가,12,20231130,8,26.31,140.0,5.0,98.0,85.0,12.0,242.0,1.0,1.0
80,B농가,12,20231130,9,29.2,135.0,7.0,75.0,69.0,11.0,251.0,1.0,1.0
81,B농가,13,20231207,1,24.8,100.0,9.0,58.0,53.0,11.0,237.0,1.0,2.0
82,B농가,13,20231207,2,27.82,108.0,8.0,95.0,90.0,11.0,270.0,1.0,3.0
83,B농가,13,20231207,3,24.45,152.0,7.0,82.0,64.0,11.0,276.0,1.0,1.0
84,B농가,13,20231207,4,28.08,140.0,7.0,92.0,83.0,10.0,248.0,1.0,2.0
85,B농가,13,20231207,5,24.61,164.0,6.0,112.0,97.0,14.0,277.0,1.0,3.0
86,B농가,13,20231207,6,29.97,160.0,7.0,90.0,81.0,12.0,258.0,1.0,2.0
87,B농가,13,20231207,7,25.78,78.0,6.0,68.0,54.0,10.0,254.0,1.0,0.0
88,B농가,13,20231207,8,28.43,127.0,6.0,97.0,86.0,12.0,246.0,1.0,1.0
89,B농가,13,20231207,9,27.86,146.0,8.0,82.0,62.0,12.0,222.0,1.0,0.0
90,B농가,14,20231214,1,23.43,143.0,9.0,67.0,69.0,7.0,233.0,1.0,0.0
91,B농가,14,20231214,2,22.04,189.0,7.0,93.0,79.0,8.0,303.0,1.0,0.0
92,B농가,14,20231214,3,23.35,153.0,7.0,83.0,66.0,5.0,280.0,1.0,0.0
93,B농가,14,20231214,4,26.93,171.0,7.0,86.0,75.0,10.0,250.0,1.0,0.0
94,B농가,14,20231214,5,24.93,155.0,6.0,81.0,65.0,9.0,285.0,1.0,0.0
95,B농가,14,20231214,6,27.07,177.0,9.0,78.0,68.0,10.0,286.0,1.0,0.0
96,B농가,14,20231214,8,28.75,175.0,7.0,92.0,80.0,9.0,282.0,1.0,0.0
97,B농가,14,20231214,9,28.2,123.0,8.0,88.0,54.0,10.0,255.0,1.0,0.0
98,B농가,15,20231221,1,25.53,153.0,7.0,71.0,61.0,6.0,249.0,1.0,0.0
99,B농가,15,20231221,2,22.85,202.0,7.0,90.0,86.0,7.0,307.0,1.0,0.0
100,B농가,15,20231221,3,23.81,189.0,7.0,88.0,76.0,4.0,291.0,1.0,0.0
101,B농가,15,20231221,4,25.81,165.0,8.0,87.0,78.0,9.0,305.0,1.0,0.0
102,B농가,15,20231221,5,26.31,185.0,6.0,81.0,70.0,9.0,304.0,1.0,0.0
103,B농가,15,20231221,6,27.54,191.0,9.0,78.0,70.0,7.0,314.0,1.0,0.0
104,B농가,15,20231221,7,28.83,194.0,7.0,104.0,94.0,10.0,306.0,1.0,0.0
105,B농가,15,20231221,8,29.34,156.0,9.0,91.0,88.0,7.0,305.0,1.0,0.0
106,B농가,15,20231221,9,28.04,133.0,9.0,91.0,70.0,10.0,272.0,1.0,0.0
107,B농가,16,20231228,1,21.19,133.0,9.0,68.0,58.0,4.0,243.0,1.0,0.0
108,B농가,16,20231228,2,24.25,179.0,8.0,79.0,65.0,6.0,289.0,1.0,0.0
109,B농가,16,20231228,3,22.48,190.0,6.0,88.0,79.0,3.0,271.0,1.0,0.0
110,B농가,16,20231228,4,28.27,161.0,10.0,58.0,57.0,7.0,279.0,1.0,0.0
111,B농가,16,20231228,5,29.77,182.0,6.0,77.0,69.0,6.0,289.0,1.0,0.0
112,B농가,16,20231228,6,29.52,180.0,5.0,80.0,73.0,7.0,300.0,1.0,0.0
113,B농가,16,20231228,7,23.31,168.0,7.0,91.0,85.0,8.0,310.0,1.0,0.0
114,B농가,16,20231228,8,33.45,152.0,7.0,100.0,88.0,6.0,303.0,1.0,0.0
115,B농가,16,20231228,9,22.56,133.0,6.0,92.0,68.0,9.0,253.0,1.0,0.0
116,B농가,17,20240104,1,21.92,151.0,9.0,72.0,62.0,1.0,243.0,1.0,0.0
117,B농가,17,20240104,2,20.85,188.0,8.0,82.0,64.0,3.0,305.0,1.0,0.0
118,B농가,17,20240104,3,23.86,120.0,7.0,90.0,85.0,1.0,280.0,1.0,0.0
119,B농가,17,20240104,4,28.05,175.0,9.0,85.0,75.0,5.0,272.0,1.0,0.0
120,B농가,17,20240104,5,22.02,175.0,5.0,82.0,70.0,5.0,272.0,1.0,0.0
121,B농가,17,20240104,6,29.93,180.0,6.0,83.0,72.0,4.0,308.0,1.0,0.0
122,B농가,17,20240104,7,27.16,168.0,7.0,92.0,82.0,6.0,305.0,1.0,0.0
123,B농가,17,20240104,8,30.71,145.0,6.0,93.0,83.0,4.0,300.0,1.0,0.0
124,B농가,17,20240104,9,25.78,135.0,6.0,93.0,66.0,4.0,258.0,1.0,0.0
125,B농가,18,20240111,1,22.99,162.0,8.0,70.0,60.0,0.0,238.0,1.0,0.0
126,B농가,18,20240111,2,20.56,192.0,8.0,82.0,62.0,1.0,306.0,1.0,0.0
127,B농가,18,20240111,3,26.62,178.0,7.0,96.0,78.0,0.0,270.0,1.0,0.0
128,B농가,18,20240111,4,30.33,177.0,8.0,92.0,81.0,4.0,280.0,1.0,0.0
129,B농가,18,20240111,5,34.97,160.0,6.0,105.0,87.0,3.0,288.0,1.0,0.0
130,B농가,18,20240111,6,28.5,152.0,7.0,68.0,61.0,3.0,313.0,1.0,0.0
131,B농가,18,20240111,7,22.37,164.0,7.0,96.0,82.0,2.0,308.0,1.0,0.0
132,B농가,18,20240111,8,34.47,151.0,9.0,95.0,87.0,1.0,300.0,1.0,0.0
133,B농가,18,20240111,9,21.69,133.0,5.0,93.0,70.0,0.0,261.0,1.0,0.0
134,B농가,19,20240118,1,18.65,98.0,10.0,77.0,72.0,0.0,240.0,2.0,0.0
135,B농가,19,20240118,2,21.89,132.0,9.0,62.0,42.0,0.0,280.0,1.0,0.0
136,B농가,19,20240118,3,21.46,163.0,8.0,87.0,72.0,0.0,275.0,2.0,0.0
137,B농가,19,20240118,4,31.41,170.0,9.0,64.0,62.0,1.0,278.0,1.0,0.0
138,B농가,19,20240118,5,28.58,162.0,6.0,82.0,67.0,1.0,278.0,1.0,0.0
139,B농가,19,20240118,6,29.76,157.0,7.0,68.0,63.0,0.0,305.0,1.0,0.0
140,B농가,19,20240118,7,25.5,125.0,8.0,52.0,44.0,0.0,305.0,2.0,0.0
141,B농가,19,20240118,8,25.61,123.0,10.0,67.0,58.0,0.0,306.0,1.0,0.0
142,B농가,19,20240118,9,23.41,185.0,6.0,68.0,60.0,0.0,255.0,0.0,0.0
143,B농가,20,20240125,1,20.09,168.0,9.0,59.0,56.0,5.0,231.0,2.0,0.0
144,B농가,20,20240125,2,52.38,130.0,8.0,56.0,44.0,2.0,322.0,2.0,0.0
145,B농가,20,20240125,3,28.16,118.0,8.0,49.0,45.0,4.0,288.0,2.0,1.0
146,B농가,20,20240125,4,21.41,123.0,6.0,55.0,45.0,1.0,257.0,1.0,0.0
147,B농가,20,20240125,5,18.46,133.0,6.0,90.0,87.0,8.0,276.0,2.0,0.0
148,B농가,20,20240125,6,28.01,155.0,7.0,65.0,63.0,4.0,297.0,2.0,0.0
149,B농가,20,20240125,7,29.93,145.0,6.0,57.0,50.0,6.0,310.0,2.0,1.0
150,B농가,20,20240125,8,26.38,135.0,7.0,55.0,49.0,2.0,294.0,2.0,2.0
151,B농가,20,20240125,9,23.27,155.0,6.0,83.0,67.0,6.0,235.0,2.0,0.0
152,B농가,21,20240202,1,21.87,105.0,9.0,76.0,52.0,3.0,232.0,2.0,0.0
153,B농가,21,20240202,2,19.64,110.0,9.0,58.0,52.0,2.0,313.0,2.0,0.0
154,B농가,21,20240202,3,25.96,127.0,8.0,59.0,50.0,3.0,280.0,2.0,2.0
155,B농가,21,20240202,4,26.17,122.0,8.0,80.0,74.0,3.0,275.0,2.0,0.0
156,B농가,21,20240202,5,25.52,187.0,4.0,80.0,71.0,6.0,280.0,2.0,0.0
157,B농가,21,20240202,6,21.48,115.0,9.0,52.0,48.0,1.0,292.0,2.0,0.0
158,B농가,21,20240202,7,23.36,147.0,7.0,56.0,50.0,3.0,300.0,2.0,0.0
159,B농가,21,20240202,8,20.41,137.0,9.0,62.0,52.0,2.0,265.0,2.0,0.0
160,B농가,21,20240202,9,25.31,181.0,6.0,65.0,60.0,5.0,252.0,2.0,0.0
161,B농가,22,20240207,1,20.44,133.0,11.0,53.0,48.0,2.0,241.0,2.0,0.0
162,B농가,22,20240207,2,21.57,135.0,8.0,58.0,47.0,2.0,315.0,2.0,0.0
163,B농가,22,20240207,3,28.84,110.0,7.0,57.0,48.0,5.0,281.0,2.0,2.0
164,B농가,22,20240207,4,27.2,120.0,7.0,57.0,52.0,3.0,271.0,2.0,0.0
165,B농가,22,20240207,5,23.49,158.0,7.0,61.0,55.0,3.0,303.0,2.0,0.0
166,B농가,22,20240207,6,24.19,105.0,10.0,63.0,57.0,1.0,286.0,2.0,0.0
167,B농가,22,20240207,7,27.45,148.0,9.0,53.0,50.0,3.0,303.0,2.0,0.0
168,B농가,22,20240207,8,25.91,102.0,10.0,58.0,50.0,3.0,268.0,2.0,2.0
169,B농가,22,20240207,9,22.01,133.0,8.0,56.0,50.0,5.0,242.0,2.0,0.0
170,B농가,23,20240215,1,21.04,98.0,11.0,52.0,53.0,0.0,246.0,2.0,0.0
171,B농가,23,20240215,2,25.72,118.0,8.0,68.0,60.0,1.0,313.0,2.0,0.0
172,B농가,23,20240215,3,26.23,93.0,8.0,68.0,60.0,6.0,270.0,2.0,1.0
173,B농가,23,20240215,4,26.51,120.0,8.0,58.0,52.0,1.0,290.0,2.0,0.0
174,B농가,23,20240215,5,26.12,170.0,7.0,60.0,56.0,0.0,313.0,2.0,0.0
175,B농가,23,20240215,6,30.08,108.0,10.0,65.0,61.0,0.0,293.0,2.0,0.0
176,B농가,23,20240215,7,29.02,102.0,9.0,59.0,53.0,2.0,307.0,2.0,0.0
177,B농가,23,20240215,8,30.84,110.0,8.0,60.0,50.0,2.0,237.0,2.0,0.0
178,B농가,23,20240215,9,22.03,130.0,8.0,55.0,52.0,2.0,241.0,2.0,0.0
179,B농가,24,20240222,1,22.57,108.0,10.0,63.0,57.0,0.0,262.0,2.0,0.0
180,B농가,24,20240222,2,25.72,130.0,9.0,77.0,63.0,0.0,313.0,2.0,0.0
181,B농가,24,20240222,3,24.14,115.0,9.0,79.0,65.0,6.0,283.0,2.0,3.0
182,B농가,24,20240222,4,23.64,113.0,7.0,56.0,52.0,0.0,275.0,0.0,0.0
183,B농가,24,20240222,5,22.78,139.0,7.0,98.0,75.0,0.0,295.0,0.0,0.0
184,B농가,24,20240222,6,26.5,107.0,10.0,63.0,57.0,0.0,273.0,0.0,0.0
185,B농가,24,20240222,7,26.06,103.0,9.0,58.0,52.0,0.0,312.0,0.0,0.0
186,B농가,24,20240222,8,29.46,103.0,9.0,67.0,65.0,2.0,296.0,0.0,0.0
187,B농가,24,20240222,9,25.95,127.0,7.0,58.0,52.0,0.0,255.0,0.0,0.0
188,B농가,25,20240228,1,25.63,102.0,11.0,65.0,56.0,0.0,247.0,0.0,0.0
189,B농가,25,20240228,2,23.78,132.0,11.0,80.0,67.0,0.0,313.0,0.0,0.0
190,B농가,25,20240228,3,25.83,108.0,9.0,70.0,55.0,5.0,273.0,2.0,0.0
191,B농가,25,20240228,4,25.2,116.0,9.0,58.0,50.0,0.0,284.0,0.0,0.0
192,B농가,25,20240228,5,23.39,165.0,7.0,62.0,60.0,0.0,315.0,0.0,0.0
193,B농가,25,20240228,6,28.5,112.0,10.0,69.0,67.0,0.0,281.0,0.0,0.0
194,B농가,25,20240228,7,28.47,100.0,9.0,65.0,57.0,0.0,306.0,2.0,0.0
195,B농가,25,20240228,8,34.59,123.0,9.0,60.0,52.0,0.0,275.0,2.0,0.0
196,B농가,25,20240228,9,24.59,130.0,6.0,57.0,53.0,0.0,237.0,0.0,0.0
197,B농가,26,20240307,1,25.76,101.0,9.0,60.0,52.0,0.0,233.0,2.0,0.0
198,B농가,26,20240307,2,22.3,137.0,6.0,85.0,75.0,0.0,227.0,2.0,0.0
199,B농가,26,20240307,3,25.65,113.0,7.0,72.0,67.0,5.0,211.0,2.0,0.0
200,B농가,26,20240307,4,24.92,103.0,7.0,52.0,48.0,0.0,247.0,2.0,0.0
201,B농가,26,20240307,5,24.58,121.0,5.0,51.0,47.0,0.0,281.0,2.0,0.0
202,B농가,26,20240307,6,26.74,136.0,11.0,67.0,70.0,0.0,207.0,2.0,0.0
203,B농가,26,20240307,7,22.28,117.0,9.0,70.0,59.0,0.0,198.0,2.0,0.0
204,B농가,26,20240307,8,28.28,97.0,8.0,72.0,53.0,0.0,195.0,2.0,0.0
205,B농가,26,20240307,9,20.54,85.0,5.0,51.0,50.0,0.0,248.0,2.0,0.0
206,B농가,27,20240314,1,24.96,102.0,10.0,78.0,76.0,5.0,235.0,3.0,2.0
207,B농가,27,20240314,2,26.1,123.0,8.0,78.0,78.0,5.0,275.0,3.0,0.0
208,B농가,27,20240314,3,22.32,115.0,8.0,73.0,75.0,3.0,233.0,3.0,0.0
209,B농가,27,20240314,4,21.14,122.0,10.0,75.0,62.0,5.0,252.0,3.0,0.0
210,B농가,27,20240314,5,21.02,95.0,5.0,77.0,72.0,3.0,245.0,3.0,2.0
211,B농가,27,20240314,6,26.88,135.0,9.0,67.0,70.0,7.0,235.0,3.0,1.0
212,B농가,27,20240314,7,28.62,120.0,10.0,60.0,60.0,7.0,192.0,3.0,2.0
213,B농가,27,20240314,8,29.12,105.0,8.0,72.0,73.0,8.0,187.0,3.0,0.0
214,B농가,27,20240314,9,23.26,147.0,6.0,88.0,73.0,5.0,241.0,3.0,0.0
215,B농가,28,20240321,1,19.9,137.0,12.0,83.0,82.0,8.0,237.0,3.0,2.0
216,B농가,28,20240321,2,24.2,175.0,10.0,95.0,89.0,5.0,281.0,3.0,0.0
217,B농가,28,20240321,3,21.12,135.0,9.0,85.0,81.0,1.0,283.0,3.0,0.0
218,B농가,28,20240321,4,26.42,152.0,10.0,66.0,77.0,3.0,277.0,3.0,0.0
219,B농가,28,20240321,5,30.19,128.0,5.0,90.0,82.0,7.0,237.0,3.0,3.0
