,행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
66,광주광역시 남구 (2915500000),218035,217993,217810,217543,216758,216256,215987,215701,215266,215072,214752,214579,214532,214579,213776,213698,213717,213910,214111,214051,214295,215043,215527,215575,215739,215454,215008,214848,215251,215274,215129,214411,213653,213079,212701,212379,210618,210423,210329,210027,209979,209646,209472,209448,209022,208632
67,광주광역시 북구 (2917000000),433147,432872,433006,433057,432731,433444,433463,433279,432525,431684,431256,430431,430516,430209,429600,429159,428262,427858,428040,427773,428082,427684,427463,427114,426877,427139,427178,426745,426329,426053,425881,424715,423743,424720,425001,424707,422475,422881,422776,422567,422159,421683,421473,421073,421968,422779
68,광주광역시 광산구 (2920000000),405525,405600,405969,406781,407036,406827,407133,407371,407138,406560,406126,405579,405154,405052,404939,404863,404804,404645,404422,404413,404726,404579,404341,404221,404319,403590,403407,402998,402793,402698,402513,402034,401729,401334,400895,400654,398520,397959,397682,397339,397164,396741,396562,395937,395031,394487
69,대전광역시  (3000000000),1474152,1473125,1471858,1471650,1471915,1471040,1470225,1469431,1469099,1467556,1465893,1463882,1463291,1462064,1458463,1457619,1457161,1456107,1455300,1454679,1455058,1454228,1453675,1452251,1451272,1450862,1450057,1449360,1448933,1448401,1448182,1448240,1446602,1446863,1446749,1446072,1444898,1444837,1444595,1443965,1443106,1442216,1441562,1441536,1441689,1441272
70,대전광역시 동구 (3011000000),226216,225633,225302,225094,224729,224300,224060,223728,223368,222850,222446,223021,223727,224103,223469,223358,223353,223245,223198,223206,223409,223384,223038,222222,221592,221300,220860,220313,220920,221043,220889,220724,220511,220286,220102,219751,218701,218694,218687,218465,218037,217628,217079,217024,216872,216533
71,대전광역시 중구 (3014000000),240215,240064,239635,239361,238955,238540,238149,237792,237425,236825,236492,235550,235164,234654,233601,233213,233067,232841,232627,232309,232077,231852,231306,230341,229555,229283,229497,229531,229089,229570,229712,229092,228198,227934,227500,227108,224684,224439,224439,224143,223506,223256,222919,222690,223076,223581
72,대전광역시 서구 (3017000000),481174,481349,481135,481304,481449,481436,481209,481124,480780,479806,478872,477880,477326,476945,475685,475622,475406,474934,474653,474504,474444,474046,473952,473365,473019,472935,472417,471907,471247,470332,469987,471029,470852,471112,471033,470374,467653,467364,466927,465978,465183,464634,464741,464764,464115,463328
73,대전광역시 유성구 (3020000000),349824,349915,350055,350439,351532,351882,352316,352550,352604,352231,351790,351047,350875,350374,350136,350017,350046,349927,349836,349809,350337,350284,351049,351277,351622,351887,351989,352557,352826,352844,353151,353263,353449,354066,354845,356093,363057,363731,364062,365082,366294,366845,367240,367500,367727,367634
74,대전광역시 대덕구 (3023000000),176723,176164,175731,175452,175250,174882,174491,174237,174922,175844,176293,176384,176199,175988,175572,175409,175289,175160,174986,174851,174791,174662,174330,175046,175484,175457,175294,175052,174851,174612,174443,174132,173592,173465,173269,172746,170803,170609,170480,170297,170086,169853,169583,169558,169899,170196
75,울산광역시  (3100000000),1147037,1145710,1144563,1144098,1143148,1142190,1141362,1140310,1139368,1138581,1137345,1136017,1135370,1132953,1129254,1128163,1127175,1126369,1125727,1124459,1123236,1122566,1122495,1121592,1121100,1119446,1118010,1117204,1116482,1115609,1114753,1113458,1112191,1111707,1111371,1110663,1105326,1104448,1104167,1104031,1103752,1103661,1103402,1102161,1101336,1101059
76,울산광역시 중구 (3111000000),223060,222395,221702,221125,220604,220028,219635,219249,218862,218571,218096,217595,217191,216523,215276,214901,214775,214779,214584,214280,213833,213579,213441,212883,212502,211948,211523,211249,210786,210354,210115,209642,209120,208846,208508,208132,205838,205464,205345,207179,208347,208668,208568,208249,208044,208000
77,울산광역시 남구 (3114000000),323704,323756,323320,323230,323192,322883,322486,321955,321494,321134,320716,320064,319780,319189,318059,317672,317184,316716,316241,315599,315118,314706,314331,313819,313427,312885,312328,312148,312230,312159,311849,311396,310955,310784,310737,310638,309220,309139,309184,308438,307790,307232,306762,306068,305615,305346
78,울산광역시 동구 (3117000000),159294,158809,158477,158323,158154,157973,157757,157589,157396,157319,157111,156806,156596,156209,155753,155511,155284,155129,154922,154705,154566,154501,154383,154096,153975,153592,153330,153164,152971,152691,152560,152322,152008,151986,151945,151711,152048,152315,152523,152419,152356,152287,152104,151796,151648,151663
79,울산광역시 북구 (3120000000),218053,218190,218353,218364,218396,218673,218777,218765,218903,218949,218882,219014,219175,218774,218481,218410,218303,218131,218065,217920,217736,217750,218258,218735,219121,219067,219052,218947,218738,218742,218637,218489,218447,218539,218635,218670,217879,217533,217322,216567,216025,216477,217045,217047,216917,216895
80,울산광역시 울주군 (3171000000),222926,222560,222711,223056,222802,222633,222707,222752,222713,222608,222540,222538,222628,222258,221685,221669,221629,221614,221915,221955,221983,222030,222082,222059,222075,221954,221777,221696,221757,221663,221592,221609,221661,221552,221546,221512,220341,219997,219793,219428,219234,218997,218923,219001,219112,219155
81,세종특별자치시  (3600000000),342328,343788,344792,345216,345373,345341,346217,347232,348014,351007,353430,355831,357871,359569,360462,361396,362036,362995,364364,365309,366560,368276,369465,371895,374377,376399,377296,378196,379340,380215,380889,381439,381925,382258,382770,383591,386192,385953,385932,386079,386256,386525,386944,387193,387411,387726
82,세종특별자치시  (3611000000),342328,343788,344792,345216,345373,345341,346217,347232,348014,351007,353430,355831,357871,359569,360462,361396,362036,362995,364364,365309,366560,368276,369465,371895,374377,376399,377296,378196,379340,380215,380889,381439,381925,382258,382770,383591,386192,385953,385932,386079,386256,386525,386944,387193,387411,387726
83,경기도  (4100000000),13250368,13265377,13288975,13311254,13324041,13338020,13351891,13370714,13388485,13400615,13413459,13427014,13449499,13471758,13465837,13479798,13488910,13500688,13512867,13530519,13542284,13549577,13557973,13565450,13571450,13574369,13575936,13577808,13581496,13585967,13589362,13590056,13574353,13579508,13583238,13589432,13623055,13624964,13626339,13627840,13628135,13630821,13635250,13639616,13642451,13648156
84,경기도 수원시 (4111000000),1193894,1193480,1192762,1192622,1192018,1191542,1191244,1190074,1188926,1187638,1187153,1186078,1185741,1186273,1185984,1185532,1184922,1184210,1183615,1183419,1184754,1185276,1184683,1183714,1184404,1184996,1185569,1185560,1185041,1185044,1185184,1186961,1188234,1189654,1190368,1190964,1192960,1195111,1195718,1196864,1197241,1197257,1197220,1196856,1196818,1196987
85,경기도 수원시 장안구 (4111100000),277846,277386,276842,276611,276317,275875,275479,274984,274911,274480,274148,273661,273324,272823,271918,271170,270807,270373,270044,269906,272625,273854,274107,273835,273399,273339,273541,273238,272963,273223,273174,272638,271779,271305,271012,270524,269128,268547,268202,269440,270294,270849,270959,271316,271526,273317
86,경기도 수원시 권선구 (4111300000),371509,371218,370922,370955,370687,370648,370548,370337,369755,369314,369150,368645,368686,368157,366553,365778,365384,365208,365157,365103,364671,364416,364164,364136,367044,368667,369288,369525,369217,369188,369016,368047,366832,366453,367004,367446,368915,368270,367359,366740,366467,366167,366306,365904,365844,365287
87,경기도 수원시 팔달구 (4111500000),175698,175677,175533,175446,175396,175468,175247,175063,174879,174683,174709,174930,175098,177307,180743,182377,182844,183123,183198,183288,182925,182600,182390,182321,181990,181806,181595,181395,181280,181123,181416,185563,189267,191423,192225,192610,192414,195442,197197,197705,197473,197213,196921,196573,196326,195864
88,경기도 수원시 영통구 (4111700000),368841,369199,369465,369610,369618,369551,369970,369690,369381,369161,369146,368842,368633,367986,366770,366207,365887,365506,365216,365122,364533,364406,364022,363422,361971,361184,361145,361402,361581,361510,361578,360713,360356,360473,360127,360384,362503,362852,362960,362979,363007,363028,363034,363063,363122,362519
89,경기도 성남시 (4113000000),942649,942183,941688,941527,940519,939748,938982,940668,941783,941480,940746,940064,939774,938819,934308,932867,931626,931654,931756,931931,931760,931319,931063,930948,931072,930731,929463,928267,927340,926645,925981,924333,920903,920667,920362,922518,919771,918077,917374,917243,918771,919747,919856,919855,919464,918706
90,경기도 성남시 수정구 (4113100000),234614,234417,234421,234653,234702,234729,234993,239043,241803,242451,242157,241701,241568,241217,238984,238336,237729,236873,236351,235720,235530,235980,236076,235988,235887,235616,235377,235103,234748,234728,234524,234303,233447,232663,232125,230460,230699,230552,230406,230442,233509,235942,236825,237291,237514,237536
91,경기도 성남시 중원구 (4113300000),219921,219619,219408,219155,218785,218485,218146,216969,216379,216013,215975,216131,216142,216128,215336,215314,215212,214767,214189,213784,213280,212478,211658,210777,210344,209991,209406,208846,208356,207896,207526,206386,204894,205893,206211,210505,213471,213015,212792,212648,211505,210848,210369,210179,209947,209574
92,경기도 성남시 분당구 (4113500000),488114,488147,487859,487719,487032,486534,485843,484656,483601,483016,482614,482232,482064,481474,479988,479217,478685,480014,481216,482427,482950,482861,483329,484183,484841,485124,484680,484318,484236,484021,483931,483644,482562,482111,482026,481553,475601,474510,474176,474153,473757,472957,472662,472385,472003,471596
93,경기도 의정부시 (4115000000),451876,452865,453679,454222,454859,455520,455671,456660,458273,459418,460390,461710,462499,462619,461143,461077,460923,461523,462588,463373,463562,463665,463706,463661,463877,463977,464262,464358,464397,464171,463934,464310,463160,463324,463789,463724,464775,464778,464909,465019,464644,464213,463724,463077,462466,462010
94,경기도 안양시 (4117000000),565352,563066,561966,561069,559792,558017,556561,554857,553286,552154,551296,550027,549730,550939,551136,551189,550750,549903,548960,548491,548074,547258,546753,547178,548654,549827,549826,549724,549917,549659,549457,548938,547968,548372,548398,548228,545478,545092,544514,544083,543597,544660,546078,546534,546384,546182
95,경기도 안양시 만안구 (4117100000),243176,242107,241916,241999,242105,241830,241478,240946,240604,240364,239947,239413,239070,238131,237879,238231,238331,238391,238639,239071,239356,239203,238809,238311,237288,236611,236237,235843,235229,234712,234363,234083,233963,234331,234296,234394,232874,232609,232258,231803,231267,230664,230139,229819,229483,229237
96,경기도 안양시 동안구 (4117300000),322176,320959,320050,319070,317687,316187,315083,313911,312682,311790,311349,310614,310660,312808,313257,312958,312419,311512,310321,309420,308718,308055,307944,308867,311366,313216,313589,313881,314688,314947,315094,314855,314005,314041,314102,313834,312604,312483,312256,312280,312330,313996,315939,316715,316901,316945
97,경기도 부천시 (4119000000),828947,827374,827132,826845,826093,825700,824675,822865,822000,821068,819990,818383,817449,816087,813178,812158,811225,810742,810069,809559,809083,808047,807090,806067,804990,803585,802473,801503,800174,798999,797855,796575,793519,792561,791263,790128,786469,785432,784273,782854,781119,779968,778874,777547,776349,775488
98,경기도 광명시 (4121000000),315920,316125,316220,315745,314413,312774,311119,308678,305836,302761,300092,298599,297748,296785,295750,295690,295742,295852,295560,295335,294895,294458,293763,292893,292214,291331,290698,290756,290726,290501,290351,289887,288933,288366,288182,287945,280986,280414,280129,280270,280287,280197,279943,279514,279231,278983
99,경기도 평택시 (4122000000),514876,517087,519124,520649,522111,523881,525378,527166,529140,531655,534343,537307,540929,544085,544368,546154,548131,549901,551603,554511,557450,559363,561770,564288,565827,567411,568405,569369,570868,572548,573987,575007,575032,576192,577335,578529,587093,587611,588380,589407,590185,591022,591878,592120,592800,593276
100,경기도 동두천시 (4125000000),94719,94452,94231,94191,94097,94143,93985,93968,93901,93915,94199,94353,94443,94318,93351,93289,93292,93354,93447,93414,93479,93508,93528,93592,93527,93395,93346,93260,93189,92999,92840,92744,92084,91980,91735,91546,89316,89174,89037,88820,88787,88626,88539,88255,87875,87725
101,경기도 안산시 (4127000000),650559,651211,652763,653575,654047,654450,654093,653733,653505,653383,654210,654915,655733,655700,655859,655816,655555,655115,654678,654477,654270,654117,653687,652726,652036,651419,651153,650708,649776,648849,648164,647266,645952,644583,643044,641660,635134,634284,633417,632291,630651,629308,628374,627497,626954,626166
102,경기도 안산시 상록구 (4127100000),344245,344685,347334,348512,349230,349514,349189,348898,348635,348265,350342,351888,352897,352962,353508,353702,353575,353174,352898,352166,351800,351747,351387,350668,349973,349515,349670,349566,349083,348620,348345,347832,347348,346589,345535,344664,339020,338379,337708,337035,335924,334867,333879,332718,332095,331470
103,경기도 안산시 단원구 (4127300000),306314,306526,305429,305063,304817,304936,304904,304835,304870,305118,303868,303027,302836,302738,302351,302114,301980,301941,301780,302311,302470,302370,302300,302058,302063,301904,301483,301142,300693,300229,299819,299434,298604,297994,297509,296996,296114,295905,295709,295256,294727,294441,294495,294779,294859,294696
104,경기도 고양시 (4128000000),1068641,1071002,1072909,1074853,1076179,1076996,1077347,1076406,1075841,1076564,1078047,1079216,1081175,1082420,1080845,1080736,1080656,1080507,1081045,1080896,1080787,1080240,1079722,1079353,1078924,1078772,1079065,1079277,1078975,1078559,1078189,1077198,1074705,1074784,1075202,1076535,1077156,1076655,1076376,1075898,1075089,1074907,1073751,1072474,1071339,1071272
105,경기도 고양시 덕양구 (4128100000),467673,469671,471039,472467,473322,473812,474118,473689,473594,474658,476341,476962,478147,479395,479323,479828,480156,480386,481053,481641,481890,481840,482459,482927,483251,483743,484122,484656,484928,485137,485368,485763,485231,486427,487874,490088,496502,496607,496791,496900,496631,496438,495660,494844,494226,493517
106,경기도 고양시 일산동구 (4128500000),298093,298445,298863,299276,299302,299323,299328,299138,298901,298726,298725,299716,300665,300850,300350,300407,300437,300326,300232,299985,299928,299757,299297,298873,298593,298563,299256,299399,299123,299065,298974,298492,297614,297055,296590,296122,292607,292300,292021,291771,291587,291597,291491,291427,291363,292754
107,경기도 고양시 일산서구 (4128700000),302875,302886,303007,303110,303555,303861,303901,303579,303346,303180,302981,302538,302363,302175,301172,300501,300063,299795,299760,299270,298969,298643,297966,297553,297080,296466,295687,295222,294924,294357,293847,292943,291860,291302,290738,290325,288047,287748,287564,287227,286871,286872,286600,286203,285750,285001
108,경기도 과천시 (4129000000),58334,58253,58280,59687,60790,61309,61717,61902,61982,62011,62026,63231,64549,67279,68399,68955,69027,69276,69509,69640,69732,69910,71234,73345,76139,77632,78128,78301,78414,78532,78645,78657,78231,77818,77775,78137,80855,81306,81332,81143,81008,81000,81071,81743,82860,83358
109,경기도 구리시 (4131000000),199015,198921,199099,199018,198883,198461,198212,197889,197974,197781,197608,197454,197217,196685,195804,195324,194838,194389,193954,193662,193410,193014,192461,191948,191660,191322,191213,191011,190647,190379,190323,189960,189231,189008,188876,188701,188224,187984,187836,187620,187284,187093,186846,186585,186261,186148
110,경기도 남양주시 (4136000000),702545,704172,705264,706069,706444,707485,709247,709881,710433,711815,712900,713321,714822,718434,720282,721767,723215,724183,725031,727221,728664,729918,731497,733798,734013,733995,734033,734642,735547,736212,736864,737059,737059,737352,737366,737353,733625,733002,732376,732122,732086,732265,732472,732464,732810,733209
111,경기도 오산시 (4137000000),226736,226900,227112,227550,227749,228111,228323,228768,229249,229424,229591,229725,230042,230522,230604,230769,230702,230705,230657,230555,230395,230403,230165,229983,229973,229909,229918,230028,230011,230165,230181,230142,229797,229821,229833,229849,229255,229569,229780,229730,229792,229656,230108,231937,232965,234591
112,경기도 시흥시 (4139000000),475396,476481,477425,478464,479368,481430,484164,489077,493005,495391,497925,500895,504935,507681,509115,510098,510833,511314,511747,511807,511900,511888,512155,512030,512092,511839,512455,512721,513653,513928,513768,513331,512331,512168,512438,512912,518366,518182,518174,518771,519594,519715,519306,518817,519109,519060
113,경기도 군포시 (4141000000),275989,275857,275960,275954,275902,276039,275995,275508,274985,274620,274309,273791,273542,272533,271392,271007,270754,270584,270293,269752,269507,269215,269086,268535,267941,267294,267173,267493,267659,267712,267672,267651,267032,266735,266531,266213,263841,263496,263025,262587,261898,261229,260693,260169,259798,259595
114,경기도 의왕시 (4143000000),162472,163982,164602,164701,164150,163622,163049,162751,163720,163960,163978,163795,163585,163208,162443,162227,162239,162215,162925,163510,163715,163704,163555,163356,163040,162761,162493,162137,161696,161334,161296,161047,160759,160563,160464,160221,157684,157499,157994,158242,159050,158870,158221,157693,157141,156482
115,경기도 하남시 (4145000000),273587,275384,277431,279621,281340,283256,284507,285693,287452,288922,291075,293452,295122,298005,300187,301801,302681,305908,308390,310365,312159,314866,318126,320087,321043,322697,323442,323558,323675,323790,323674,323472,323853,324674,325310,326059,328577,329162,329612,329559,329822,329861,329688,329482,329196,329456
116,경기도 용인시 (4146000000),1061440,1063650,1065613,1068519,1070987,1073115,1074968,1075659,1075697,1075490,1074790,1074176,1075045,1075918,1075421,1076773,1077701,1077826,1079049,1080325,1080027,1079609,1078604,1077508,1076830,1076339,1075784,1075877,1076530,1077609,1078451,1078751,1077111,1076369,1075570,1074971,1077280,1077890,1077224,1076098,1075474,1075566,1076859,1078069,1078150,1079326
117,경기도 용인시 처인구 (4146100000),253896,253982,254216,254483,255729,256918,257732,258291,258455,258355,258079,257498,257773,258065,258130,259445,260398,260877,261482,262030,261553,261166,260487,260198,259969,260029,259786,260440,261276,261898,262344,262597,261742,260930,259872,259288,263131,263923,263455,262555,261813,261488,261719,262954,263469,265475
118,경기도 용인시 기흥구 (4146300000),437146,437811,438790,439725,440274,440831,441190,441109,440923,440826,440764,440835,440940,440649,440164,439922,439953,439791,440630,441375,441960,442335,442323,441742,441419,441173,440826,440298,439990,439877,439674,439459,438728,438547,438500,438235,436142,435967,435764,435765,436101,436656,437751,437677,437633,437123
119,경기도 용인시 수지구 (4146500000),370398,371857,372607,374311,374984,375366,376046,376259,376319,376309,375947,375843,376332,377204,377127,377406,377350,377158,376937,376920,376514,376108,375794,375568,375442,375137,375172,375139,375264,375834,376433,376695,376641,376892,377198,377448,378007,378000,378005,377778,377560,377422,377389,377438,377048,376728
120,경기도 파주시 (4148000000),453961,453827,454494,455262,455471,456073,456788,459158,461314,463155,464453,465617,466539,467954,468501,470096,471219,472260,473673,476044,477819,479183,481629,483245,484729,485672,486131,486515,486872,487831,488608,490143,492267,493938,494970,495315,496811,496878,497108,497527,497775,497753,499883,502453,503547,504999
121,경기도 이천시 (4150000000),215885,215869,216404,216844,217547,218465,218954,219537,219531,219513,219525,218388,218651,218793,218565,219224,219591,220904,221697,222883,223482,224066,223831,223177,222997,222655,222714,222722,222948,223948,224603,224616,224225,224077,223151,222721,223651,223677,223581,223525,222652,222098,221693,221502,221366,221493
122,경기도 안성시 (4155000000),183369,183444,183751,184211,185018,185305,185544,186104,186460,186695,186853,187012,187232,187488,187540,188038,188704,189060,189298,189641,189747,189732,189559,189534,189510,189535,189539,189772,189969,189988,190160,190126,189648,189475,189146,188842,189364,189472,189456,189322,189143,189034,189406,190209,190425,190853
123,경기도 김포시 (4157000000),437789,439502,443071,445425,447038,449039,451842,458505,463735,467084,469340,473970,477332,479290,480275,481719,482578,483642,484481,485221,485647,485859,486123,486508,486651,486334,485882,485609,485453,485395,484972,484310,483845,484071,484194,484267,486122,486029,485943,486008,486126,486172,486026,485689,485532,485494
124,경기도 화성시 (4159000000),818760,822470,827603,831888,834378,836662,839493,842864,846850,850050,853106,855248,857550,859329,860865,864687,867819,870361,872537,875987,878879,881154,884225,887015,887910,889398,890668,892038,894587,896147,897883,899334,900294,904267,907958,910814,932626,934287,937189,939302,941489,944342,946582,948358,949912,951179
125,경기도 광주시 (4161000000),373274,373867,374913,375561,376753,377525,378723,379480,380291,380821,381324,382054,382578,382835,383052,383794,384306,384714,385000,385808,386301,386496,386573,387289,387563,387646,388213,388893,389483,389876,390246,391131,391460,391722,391704,391462,391791,391986,391917,391760,391432,391377,391866,392067,392381,392858
126,경기도 양주시 (4163000000),222275,222435,223704,224524,225069,226015,227972,229052,229427,230005,230273,230359,231241,233072,234181,234990,235276,235394,235495,235828,236028,236205,236302,236368,236284,236327,236239,236142,236120,237156,237889,238734,239287,239697,241346,243432,260708,262328,263610,265155,266446,268026,269658,272378,275284,276970
127,경기도 포천시 (4165000000),148137,147770,147853,148144,148081,148015,147809,147854,147803,147578,147477,147274,147393,147480,147014,147317,147425,147597,147855,148296,148434,148618,148738,148939,148867,148765,148527,148469,148326,148066,147902,147735,147340,147171,147019,146701,144158,143974,143880,143690,143510,143323,143157,142797,142542,142545
128,경기도 여주시 (4167000000),111017,111008,111083,111198,111234,111341,111400,111438,111512,111605,111636,111897,112044,112129,111903,111913,111939,112177,112203,112289,112151,112260,112199,112150,112353,112469,112393,112410,112558,112639,112731,112800,112850,113027,113096,113150,114005,114081,114253,114344,114343,114412,114336,114275,114289,114372
129,경기도 연천군 (4180000000),43741,43614,43552,43618,43689,43618,43566,43542,43590,43574,43531,43516,43438,43368,43063,43080,43071,43042,42985,42942,42842,42797,42739,42721,42739,42725,42784,42731,42675,42625,42584,42542,42364,42240,42153,42062,41802,41711,41705,41639,41588,41584,41487,41342,41236,41111
130,경기도 가평군 (4182000000),62303,62224,62262,62397,62566,62662,62632,62605,62551,62476,62495,62377,62399,62339,62049,62206,62344,62364,62348,62383,62334,62241,62253,62264,62291,62247,62221,62168,62224,62306,62297,62382,62249,62219,62197,62150,61744,61773,61976,62125,62131,62302,62274,62249,62245,62281
131,경기도 양평군 (4183000000),116910,116902,117025,117301,117456,117701,117931,118372,118433,118609,118778,118810,119022,119371,119260,119505,119826,120012,120419,120954,120997,121188,121154,121230,121300,121364,121726,121789,122046,122355,122671,122914,122630,122613,122463,122323,123428,124050,124241,124822,125121,125238,125381,125609,125722,125981
132,강원도  (4200000000),1540540,1539521,1538577,1537780,1538639,1539282,1540094,1540689,1541104,1541836,1542374,1542840,1541696,1540875,1536399,1536175,1535491,1535530,1536140,1536270,1536765,1537717,1538273,1538492,1538660,1539051,1539036,1539038,1539005,1539064,1539178,1538801,1537396,1537339,1536863,1536498,1538695,1538695,1538695,1538695,1538695,1538695,1538695,1538695,1538695,1538695
